Anzahl,Feuchtigkeit (standardisiert 0-1),Temperatur (standardisiert 0-1),Tageszeit
267,0.3,0.7,13.978307604295223
317,0.28,0.72,15.490406489663048
416,0.26,0.72,16.038890476288767
900,0.28,0.72,17.20178001206863
824,0.28,0.72,18.677341883380887
612,0.28,0.72,19.104609364901883
505,0.3,0.7,19.911435916371985
328,0.34,0.68,20.868197683752133
245,0.34,0.66,22.31601401654596
131,0.41,0.62,23.585912503951945
54,0.41,0.62,0.4685991849521229
23,0.43,0.6,1.743804473579942
14,0.49,0.56,2.531446738833833
8,0.46,0.58,3.9002262909076033
11,0.4,0.6,4.71756764659719
36,0.43,0.6,5.440482247648822
200,0.46,0.58,6.487720771466874
527,0.43,0.6,7.144028616098417
687,0.43,0.62,8.143010189780052
282,0.41,0.66,8.915673688321467
172,0.37,0.7,10.389058550297365
209,0.3,0.74,11.076852463418183
322,0.29,0.76,11.805614857751669
321,0.27,0.8,13.36580687435988
270,0.24,0.8,14.281064328707254
249,0.26,0.8,15.583901384620553
392,0.24,0.82,15.76578748244552
843,0.24,0.82,17.310220860081436
804,0.27,0.8,17.967893629736675
643,0.29,0.78,18.806091844339626
445,0.31,0.76,19.77009754543484
367,0.35,0.74,21.390505917468992
297,0.39,0.72,21.653908775304014
159,0.47,0.68,22.670441669458693
54,0.5,0.66,0.7347474747758804
25,0.54,0.66,1.3343529414885242
13,0.5,0.66,2.713060554021958
7,0.5,0.66,3.319929057390829
11,0.61,0.62,4.720064832412125
47,0.57,0.62,4.942580729283197
193,0.57,0.62,6.398937500747442
508,0.61,0.62,7.692220555083671
617,0.5,0.66,8.403869875825036
351,0.54,0.7,9.113945414078152
184,0.48,0.74,10.174200857559367
211,0.31,0.8,11.181918999104782
276,0.26,0.84,12.224591200213391
236,0.26,0.86,13.689403341618544
254,0.25,0.86,14.541018905739046
219,0.25,0.86,15.478851636832047
387,0.23,0.88,16.012878926093546
705,0.22,0.88,17.169624918805848
697,0.25,0.86,17.986697631713618
571,0.3,0.84,19.372322674676276
470,0.34,0.82,20.478326858715203
398,0.55,0.76,21.299025272572376
274,0.52,0.76,22.044926094902742
171,0.48,0.74,23.557995196062656
114,0.48,0.74,0.238516075056416
42,0.51,0.74,1.5816721362288413
18,0.58,0.72,2.7120703549815044
8,0.58,0.72,3.6324240167466133
10,0.65,0.7,4.047260147323614
45,0.61,0.7,5.542781284124452
163,0.61,0.7,6.204844060849119
380,0.61,0.7,7.231677636862098
624,0.55,0.74,8.83291022002625
300,0.55,0.76,9.38167487396303
171,0.39,0.9,10.271965543606903
188,0.42,0.9,11.752584469506006
226,0.4,0.92,12.247441084486269
239,0.38,0.94,12.973464972265514
233,0.36,0.96,14.744880452171005
230,0.36,0.96,15.292584657453132
351,0.36,0.96,16.492909560791286
539,0.34,0.98,17.618723757942117
464,0.31,0.96,18.374794018952496
363,0.47,0.9,19.088028371518874
308,0.42,0.92,20.071946030750727
236,0.53,0.86,20.798312262994358
43,0.58,0.76,0.19283679197382222
17,0.58,0.76,1.1720339900023482
15,0.51,0.74,2.3682718546216592
5,0.54,0.72,3.292649364437638
12,0.54,0.72,4.754569039421
40,0.51,0.72,5.112452528343783
136,0.58,0.7,6.748548669124026
398,0.51,0.74,7.275139002659233
568,0.52,0.76,8.018794612226577
295,0.46,0.78,9.185352441030638
174,0.43,0.8,10.196373870782606
201,0.28,0.84,11.23916657206969
257,0.32,0.84,11.985664109860355
236,0.34,0.86,13.433182323092476
230,0.34,0.86,14.674851581873247
234,0.36,0.84,15.474978811161602
365,0.36,0.84,16.6045496075539
747,0.32,0.84,17.657993145027508
730,0.32,0.84,17.895582389879763
581,0.43,0.78,19.152320543349855
395,0.43,0.78,20.050758049915796
258,0.45,0.76,21.022650747994305
188,0.51,0.74,21.665608514471927
102,0.51,0.74,23.5358899662652
53,0.54,0.72,0.4031872550280972
14,0.58,0.72,1.9231278624743187
10,0.58,0.72,2.234247385104791
2,0.65,0.7,3.458899560191076
6,0.65,0.68,4.895975720960609
35,0.61,0.7,5.28093672645486
154,0.65,0.7,6.206226063695186
483,0.58,0.74,6.918122522898083
646,0.62,0.74,8.524662910797643
272,0.49,0.8,9.757436403286386
209,0.43,0.82,9.87947263699475
217,0.34,0.86,11.016634550050014
272,0.28,0.88,12.533694551633873
283,0.25,0.9,12.914382189618319
310,0.25,0.9,14.466796578024123
401,0.24,0.9,15.735566911670453
527,0.24,0.9,16.6651321586397
722,0.3,0.86,17.30346812427529
627,0.3,0.86,18.42317017491351
497,0.36,0.84,19.16620620874321
196,0.7,0.7,21.4101685707273
177,0.79,0.68,21.6413040029246
171,0.83,0.66,23.170573786434304
88,0.51,0.74,0.4520968856286514
30,0.51,0.74,1.30728227706895
18,0.51,0.74,2.788321750956586
7,0.54,0.72,3.91179514987509
7,0.58,0.72,4.583398262804418
29,0.62,0.72,5.14704989333591
133,0.58,0.72,6.706643250891929
343,0.55,0.76,7.597261822603231
550,0.49,0.8,8.828384597097525
293,0.49,0.84,9.11239978745097
186,0.44,0.86,10.699613567459316
244,0.35,0.9,11.298683268993223
276,0.35,0.9,12.102839636877988
310,0.33,0.92,13.174579236552155
241,0.33,0.92,14.516424330677582
254,0.33,0.92,14.852280263631277
433,0.33,0.92,16.151157887126104
689,0.35,0.92,17.367263620094164
607,0.39,0.9,17.99429723221132
503,0.39,0.88,18.89006774252691
321,0.41,0.86,19.67315689609166
323,0.47,0.84,20.760699963077187
225,0.59,0.82,21.84954959763476
131,0.55,0.8,22.735055682428257
102,0.62,0.78,0.675275801306333
29,0.55,0.78,1.173079430609998
17,0.62,0.76,2.935314464461168
7,0.7,0.74,3.881634887471827
6,0.66,0.74,4.6140781858485465
35,0.66,0.74,5.64505445413317
131,0.66,0.74,6.621307524027605
353,0.46,0.78,7.526358859693746
585,0.41,0.8,8.03236071144799
304,0.36,0.82,9.759663707156578
210,0.3,0.86,10.390557037435551
233,0.32,0.84,11.346491690013236
331,0.28,0.88,11.820920792331549
293,0.27,0.9,13.146353007933284
275,0.31,0.9,14.444526975359997
285,0.29,0.92,15.162922214564846
369,0.29,0.92,16.481313595964956
576,0.29,0.92,17.48335645810477
560,0.33,0.9,18.268050759109585
418,0.35,0.88,18.873063858402322
336,0.39,0.86,20.416861847519066
300,0.52,0.82,20.745789261699482
288,0.55,0.8,22.250351060289585
164,0.63,0.8,23.030877453625923
39,0.89,0.68,0.7631603019572747
28,0.83,0.66,5.711850377670831
455,0.83,0.66,8.81947252153437
363,0.83,0.66,9.063997917542455
175,0.83,0.66,10.687996346557503
216,0.62,0.72,11.228877263212539
266,0.58,0.74,12.306992418429612
255,0.55,0.76,13.548183482840406
242,0.55,0.74,13.899918439524775
280,0.45,0.76,15.158278642379072
413,0.4,0.78,16.3878942471214
849,0.4,0.78,17.613115463869004
872,0.48,0.76,18.042716578187328
631,0.55,0.74,18.790978274746674
447,0.55,0.74,20.58808444592462
331,0.55,0.74,20.851278648509258
224,0.58,0.72,21.691341636597464
131,0.65,0.7,23.040641352135395
69,0.7,0.7,0.33263149201311043
15,0.74,0.7,1.2540568554337674
16,0.74,0.7,2.6191602521766373
3,0.79,0.68,3.7211714105962868
4,0.79,0.68,4.366205982076234
42,0.83,0.66,5.832359938608887
187,0.79,0.68,6.1686303648054865
520,0.74,0.7,7.532683870167937
649,0.74,0.72,8.242102755582104
331,0.66,0.74,9.771673168582486
190,0.62,0.76,10.55864741395049
249,0.46,0.8,11.399206608584167
272,0.41,0.8,12.603664172951381
280,0.38,0.82,13.653890565225026
242,0.38,0.82,14.502754102152007
265,0.41,0.8,15.246686880702402
435,0.43,0.8,16.70898854992865
872,0.49,0.78,17.26645016729432
139,0.83,0.64,22.503469401262322
103,0.89,0.64,23.241881507680613
44,0.83,0.66,0.6025458846862174
14,0.89,0.64,1.0160377859321432
5,0.89,0.64,2.2170817534625975
5,0.89,0.64,3.7133742621999315
7,0.89,0.64,4.91558359158399
41,0.89,0.64,5.8616653171433315
185,0.89,0.64,6.639492501718451
497,0.83,0.66,7.5538061362074185
674,0.79,0.68,8.110890073156119
328,0.74,0.7,9.448243939082042
195,0.62,0.72,10.39976899225879
229,0.58,0.76,10.867584715706867
292,0.43,0.78,12.169085738947645
273,0.42,0.8,13.66604687535841
241,0.41,0.8,14.154890952738983
276,0.41,0.8,15.261591802602236
411,0.38,0.8,15.90911831561122
830,0.31,0.8,16.90974163772635
814,0.38,0.78,18.241416996606258
633,0.48,0.74,19.074129780449333
483,0.51,0.74,20.285978667927257
391,0.58,0.72,21.217438335085674
244,0.58,0.72,21.776520621145607
152,0.58,0.7,22.906315074194058
56,0.61,0.68,0
21,0.61,0.66,1.9226591865977538
9,0.65,0.66,2.3594152356643225
10,0.69,0.64,3.911157672801881
5,0.73,0.64,4.4370994839733475
44,0.73,0.62,5.376801290011088
178,0.73,0.64,6.612843989718285
512,0.73,0.64,7.024215574190483
702,0.65,0.68,8.383038784447077
327,0.58,0.72,9.402859621890363
214,0.48,0.74,10.48472320762934
215,0.45,0.76,11.184958021790683
292,0.35,0.78,11.93630311570992
277,0.33,0.8,12.858636768150495
209,0.33,0.78,14.51856112802051
271,0.36,0.8,15.444390235562546
439,0.36,0.8,16.48806983857241
795,0.43,0.76,16.874776065925072
825,0.45,0.76,18.2933854673392
629,0.48,0.74,19.4382725803944
514,0.48,0.74,20.56871482343863
373,0.48,0.72,20.957591684312643
318,0.51,0.72,22.284488596904772
211,0.51,0.7,22.954051238114708
95,0.54,0.7,0.5937279211541335
59,0.54,0.68,1.0655569479742928
17,0.61,0.66,2.562286266795617
9,0.61,0.68,3.536272608156339
11,0.61,0.66,4.591664487841544
34,0.56,0.66,5.705201846741526
127,0.54,0.7,6.7423034874445955
380,0.54,0.7,6.933791263130655
713,0.54,0.7,8.531418388517984
414,0.51,0.72,9.68364502533772
268,0.48,0.74,10.569365892493796
288,0.45,0.76,11.63474896605461
379,0.4,0.76,11.928186724501085
374,0.38,0.8,13.567039856225804
369,0.38,0.8,14.11922051914185
353,0.36,0.8,15.6856499682528
492,0.36,0.8,16.65160304193924
835,0.36,0.8,17.30301631576264
631,0.46,0.78,17.812560885771724
488,0.51,0.74,19.45842980393517
389,0.48,0.74,20.262987866715168
299,0.54,0.72,20.7414529687131
263,0.45,0.74,22.28468177280945
212,0.45,0.72,22.948421515523
11,0.74,0.7,1.8046837081175409
15,0.74,0.7,2.2102681248559306
6,0.79,0.68,3.3077666485422603
12,0.79,0.68,4.8431955018699115
50,0.78,0.66,5.471084368162016
140,0.79,0.68,6.694510700579781
483,0.7,0.72,6.92276415424006
667,0.66,0.74,7.907228506460017
348,0.62,0.76,9.473797401362022
186,0.59,0.8,10.070383197719764
182,0.53,0.84,11.06718317984161
237,0.49,0.84,12.416756064964819
239,0.49,0.84,13.184998130110808
212,0.42,0.88,14.554915211078562
237,0.47,0.86,14.868668023628572
794,0.53,0.84,18.682050674559537
595,0.63,0.8,19.326651266953846
454,0.59,0.8,20.315892786222232
328,0.66,0.76,21.389835589639294
284,0.62,0.76,22.144040250216097
166,0.74,0.74,22.995878558166392
53,0.84,0.72,0.6006699358338139
25,0.7,0.74,1.933121162766595
7,0.7,0.72,2.1788774286294017
3,0.66,0.72,3.6866017024565356
7,0.62,0.72,4.359004455626412
38,0.74,0.68,5.732302435880868
213,0.66,0.72,6.769730322235653
526,0.7,0.74,7.848177366093475
661,0.55,0.8,8.767051914807167
320,0.49,0.82,9.104898547084927
159,0.49,0.84,10.055000997024411
206,0.47,0.86,11.596456642562048
254,0.35,0.9,11.964770759190436
221,0.31,0.92,13.61028543706282
214,0.29,0.94,14.725514983434255
244,0.31,0.92,15.242503375520027
381,0.29,0.92,15.77587041674413
770,0.29,0.92,17.335191308456814
772,0.33,0.9,18.5206336202477
547,0.35,0.88,18.84071660213777
427,0.34,0.86,20.644992387255307
333,0.52,0.82,21.324331672192507
244,0.55,0.8,22.488711832574847
161,0.59,0.78,22.8594858247866
53,0.66,0.76,0.847815492955046
16,0.66,0.76,1.7620627634105488
8,0.66,0.74,2.5688344969784733
4,0.66,0.74,3.1552801436494384
6,0.7,0.72,3.992164122572523
46,0.7,0.72,5.532331482485172
162,0.7,0.72,6.691624876767454
495,0.66,0.74,7.079844111518014
679,0.62,0.78,8.522778638416188
297,0.56,0.82,9.247956865628561
138,0.42,0.9,10.215831340324588
183,0.42,0.9,10.878043644006667
202,0.37,0.92,12.215766821018883
203,0.33,0.94,13.328018335062396
170,0.38,0.94,14.572228863033764
224,0.66,0.74,16.560758127928928
370,0.7,0.74,16.732197740152163
643,0.62,0.76,18.26717642993247
516,0.62,0.76,18.98415168758499
366,0.62,0.74,19.709089118715656
319,0.62,0.76,21.00707774117028
288,0.58,0.76,21.901272470214767
131,0.58,0.76,23.579825141613874
66,0.66,0.74,0.9349258259383875
25,0.66,0.74,1.5889266340883867
7,0.7,0.72,2.915559324671409
5,0.7,0.72,3.8137643007456385
8,0.7,0.72,4.051747452156043
40,0.7,0.72,5.503778504167718
152,0.66,0.72,6.251952561381437
473,0.58,0.74,7.548280963607782
657,0.58,0.76,8.495769543745132
318,0.58,0.76,9.537065403546361
198,0.58,0.76,10.450153403764197
216,0.55,0.8,10.93901953073338
274,0.49,0.84,12.07874533966831
254,0.47,0.84,12.957297191283008
197,0.44,0.86,13.936980924615177
292,0.47,0.84,15.304474384045696
358,0.47,0.84,16.158476626342868
771,0.41,0.86,17.103095543083743
777,0.41,0.86,18.533735433220148
533,0.44,0.84,18.892825910115093
505,0.49,0.82,20.17210666362049
11,0.89,0.66,1.37146120942383
19,0.89,0.66,2.2204843372989695
36,0.89,0.66,3.7399237444487046
9,0.89,0.66,4.235686422260972
42,0.89,0.66,4.9941574021647375
126,0.89,0.66,6.832127034409612
360,0.89,0.66,7.256926175978199
691,0.83,0.68,8.190132960495218
373,0.79,0.7,9.505551267135141
233,0.79,0.7,10.599780906275454
216,0.84,0.7,15.229307039675941
436,0.83,0.68,16.650908106500253
715,0.89,0.66,16.76936710264414
622,0.78,0.66,18.364216142920252
402,0.83,0.64,19.49942203649578
135,0.83,0.62,21.969297798413216
166,0.83,0.62,23.53801979580713
47,0.89,0.66,0.47549691999618415
27,0.89,0.66,1.9134954247008522
17,0.94,0.66,2.272713202399339
2,0.94,0.66,3.5393618866737024
8,0.94,0.66,4.809335461261368
51,0.94,0.66,5.514701859098456
157,0.89,0.68,6.33421765442431
421,0.84,0.7,7.435339308901933
738,0.79,0.72,8.792060989065748
345,0.74,0.74,9.672450188840536
200,0.62,0.78,10.117696699906954
198,0.52,0.8,11.648514867530588
314,0.52,0.8,12.056915924499895
240,0.52,0.8,13.119735502945248
271,0.59,0.78,14.317315174218757
281,0.55,0.8,14.937925115271417
457,0.52,0.82,16.23799762549144
847,0.52,0.82,17.632151241297894
741,0.46,0.82,18.005812982135204
582,0.52,0.8,19.037900605288996
403,0.62,0.76,19.72700503797495
296,0.62,0.76,21.524834174498483
209,0.62,0.74,22.14179743264898
114,0.66,0.72,23.413292974348145
64,0.74,0.7,0.2323275712830974
17,0.79,0.68,1.6585394046512933
16,0.83,0.66,2.8129445588258433
6,0.83,0.66,3.3929075178952983
6,0.83,0.66,4.101304986340404
50,0.83,0.66,5.417654517850271
190,0.83,0.66,6.7566278859031055
516,0.74,0.7,6.917234337126785
743,0.7,0.74,8.121973892242972
339,0.53,0.84,9.773340835467737
218,0.56,0.82,10.44016060728978
201,0.53,0.84,11.752734180814953
229,0.56,0.82,12.604590781704696
273,0.53,0.84,12.834474600262947
244,0.53,0.84,14.066563743441959
285,0.49,0.82,15.256769631336503
455,0.55,0.8,16.435414112416726
869,0.52,0.8,17.000278063374402
877,0.62,0.76,18.161196117504428
632,0.62,0.76,19.404877198631024
523,0.66,0.74,19.797084675021285
378,0.66,0.74,21.573584245295983
269,0.66,0.74,22.025298537367505
192,0.58,0.74,22.86682665435542
66,0.58,0.72,0.9312057594459292
28,0.58,0.7,1.810814881311612
12,0.61,0.68,2.374968062293003
12,0.65,0.66,3.8272014922135447
4,0.65,0.64,4.137073914954974
59,0.65,0.64,5.851908481702232
190,0.65,0.64,6.371495456840254
507,0.5,0.66,6.992941061797424
788,0.42,0.7,8.487077941396283
342,0.37,0.72,9.140317185798464
231,0.37,0.74,10.651883441108684
281,0.33,0.76,11.141386044156594
310,0.33,0.76,12.661722535417056
312,0.31,0.78,12.813148380280731
247,0.29,0.8,14.300720269737628
317,0.31,0.78,15.224210628440982
484,0.29,0.8,16.600207331272426
913,0.31,0.8,17.199134573039434
891,0.27,0.8,17.92258629179175
698,0.33,0.76,19.188249007034603
567,0.4,0.74,19.680415003806164
397,0.45,0.72,20.741665851682352
278,0.58,0.7,21.951556300209774
239,0.57,0.68,23.158146346261937
92,0.65,0.66,0.29740138949978095
29,0.65,0.66,1.7107169941470517
21,0.69,0.66,1.9766720517301366
8,0.69,0.66,3.538955527799143
4,0.74,0.66,4.635122629662396
42,0.74,0.66,5.3756524460550095
181,0.78,0.66,6.113922358126813
495,0.74,0.7,6.998990324512943
729,0.74,0.7,8.271895882705202
344,0.7,0.72,9.480330945483288
222,0.7,0.74,9.890542918037706
212,0.66,0.8,11.377789303142166
279,0.56,0.84,12.498753562021983
242,0.53,0.86,13.745742270600953
213,0.47,0.9,14.724317508230301
238,0.42,0.92,14.868129781269024
374,0.38,0.94,15.923548320476254
738,0.45,0.9,16.90414970536722
688,0.4,0.92,18.151597671176884
614,0.45,0.9,18.88801525520959
446,0.5,0.86,20.62938431035712
271,0.49,0.8,20.752404193015753
234,0.49,0.8,22.449469592569763
145,0.7,0.72,22.721160178846162
97,0.7,0.72,0.9555676111908458
54,0.7,0.72,0.9882550297014262
26,0.79,0.7,2.4563000374848305
12,0.74,0.7,3.919624998569601
8,0.79,0.7,4.3660029251582975
37,0.84,0.7,5.255264539496343
139,0.79,0.7,6.201037005394087
410,0.7,0.72,7.85492878922509
676,0.66,0.76,8.777177868509725
363,0.49,0.82,8.86364983472332
231,0.47,0.84,9.932841922903615
251,0.47,0.84,11.35103933688166
299,0.49,0.84,12.412893920691006
314,0.47,0.84,13.566551927636771
326,0.47,0.86,14.243173803163577
323,0.41,0.86,15.547056167317834
499,0.47,0.84,16.708331894799617
699,0.41,0.86,17.6326447237918
622,0.46,0.82,17.971004489292042
516,0.52,0.82,18.784634287972814
354,0.59,0.78,19.735580808933822
260,0.59,0.78,20.838877569690347
199,0.59,0.78,22.2204676657237
189,0.66,0.76,22.622641474181265
58,0.74,0.7,0.47563530112850144
19,0.74,0.7,1.6276179007146347
8,0.74,0.68,2.163967202214535
3,0.83,0.66,3.6037381328809395
5,0.83,0.66,4.4772776119116715
47,0.83,0.66,5.649215627817942
161,0.83,0.66,6.285921922908175
469,0.79,0.7,7.706408641727216
751,0.74,0.72,8.112620141547369
293,0.7,0.74,9.723174314194075
189,0.66,0.74,10.51562135846318
215,0.55,0.78,11.720321755939313
278,0.58,0.76,12.16638283926259
226,0.49,0.8,13.390939291703708
254,0.49,0.8,13.802259519273415
236,0.49,0.8,15.390155434999023
425,0.49,0.8,15.740654077847694
827,0.55,0.76,17.28816474107485
812,0.58,0.76,17.980032288840366
665,0.52,0.82,19.28796896027021
462,0.7,0.72,20.58287817102223
322,0.7,0.72,21.218431940163864
230,0.74,0.7,22.424113139103326
150,0.74,0.7,22.917356917695965
38,0.79,0.68,0.8726490510409506
21,0.83,0.66,1.8239975671268331
8,0.83,0.66,2.789894424129511
6,0.83,0.66,3.021061702882702
6,0.83,0.66,4.547393483309435
45,0.83,0.66,5.419660603313741
194,0.89,0.64,5.965707578526583
513,0.83,0.68,7.104941595047515
760,0.79,0.7,8.439947615932317
333,0.7,0.72,9.207914861260528
227,0.66,0.72,10.764601340226871
224,0.58,0.76,10.874406882423191
248,0.46,0.8,11.802722615528822
288,0.55,0.8,13.071188880440559
260,0.55,0.8,13.983281315270716
144,0.62,0.76,15.43040297163374
402,0.58,0.76,16.587386954620296
820,0.52,0.78,16.749646159949595
857,0.55,0.76,18.393872394868414
352,0.79,0.68,20.818632684590153
257,0.74,0.68,22.41038061464449
147,0.83,0.66,22.765251199028206
47,0.79,0.68,0.6644965275199651
33,0.83,0.66,1.4947110187518724
13,0.83,0.64,2.659987236601547
7,0.83,0.64,3.2103399482476025
4,0.78,0.64,4.431264236214204
49,0.78,0.64,5.726148218744939
185,0.78,0.64,6.077647020197108
487,0.83,0.64,7.734925589739474
681,0.78,0.66,7.976197899326551
350,0.74,0.68,9.708769153274709
236,0.66,0.72,10.34119588000233
234,0.58,0.76,11.099812364335918
284,0.49,0.8,12.133592063434211
280,0.52,0.8,13.346268473807065
263,0.46,0.82,13.950755853133144
295,0.46,0.82,15.185291579806348
479,0.55,0.8,16.38767255489688
837,0.49,0.8,17.133735954899283
652,0.66,0.74,19.23922937438038
513,0.66,0.74,19.863457405755657
320,0.7,0.72,21.567692269019933
288,0.7,0.72,22.30072589101137
152,0.74,0.7,22.750678258975427
63,0.74,0.7,0.37009689787919753
42,0.79,0.68,1.2803202410470218
11,0.83,0.66,2.7585999245949506
6,0.83,0.66,3.412555035549081
9,0.83,0.66,4.367925902659767
41,0.89,0.66,4.995599609183914
183,0.83,0.66,6.268294922122424
473,0.79,0.7,7.2660403122739785
739,0.74,0.72,8.251943812193666
343,0.66,0.76,9.087128066072106
181,0.55,0.8,10.611844205448795
226,0.52,0.82,10.834414690984921
286,0.44,0.84,12.194599777251126
310,0.44,0.86,13.167861947767529
225,0.41,0.86,14.219815664915174
270,0.62,0.78,15.044909124020364
406,0.46,0.82,16.526766198339203
865,0.52,0.82,17.57738707198137
767,0.59,0.8,18.632948601567307
607,0.63,0.8,18.95588160872072
427,0.66,0.78,20.335395528837047
342,0.66,0.76,21.35435915912416
262,0.7,0.74,21.83655661619016
177,0.7,0.72,23.169361245015285
71,0.7,0.72,0.6126746322878134
43,0.74,0.7,1.0892755202673183
14,0.79,0.68,2.541801129966013
6,0.79,0.68,3.58539307782869
12,0.83,0.66,4.119210454356226
37,0.83,0.66,5.367551499840666
163,0.83,0.66,6.803316720128144
421,0.74,0.7,7.441128954274569
668,0.7,0.72,8.794819002073453
396,0.66,0.74,9.584154517396463
249,0.52,0.8,10.540221194528137
263,0.49,0.84,11.35521682006657
338,0.5,0.86,12.763087007397358
345,0.47,0.86,13.714013102437313
331,0.44,0.86,13.943179754135523
380,0.42,0.88,15.29016633928589
492,0.41,0.86,16.370989896337058
741,0.53,0.84,16.823496923138343
671,0.59,0.82,17.741461121759055
469,0.63,0.8,19.445721819429107
389,0.66,0.78,20.612639796017643
278,0.66,0.76,20.763494073718476
202,0.7,0.76,22.033853712710304
196,0.79,0.74,22.648839960954998
33,0.79,0.72,0.40698337580351834
11,0.79,0.72,1.188537547038403
5,0.79,0.72,2.8695656979470003
11,0.74,0.72,4.1582137839324425
25,0.79,0.7,5.883119639686511
141,0.79,0.7,6.168188144862729
605,0.79,0.7,8.390867069016142
213,0.7,0.74,10.76563790493789
260,0.66,0.76,11.708861517583198
285,0.55,0.78,12.735843738185311
289,0.49,0.8,13.082048541343482
287,0.46,0.82,14.523082024679697
274,0.46,0.82,14.939414020709952
451,0.41,0.84,15.836412783775494
858,0.41,0.82,16.80487303604609
843,0.41,0.82,18.20475358632921
640,0.59,0.78,19.255630513947953
457,0.66,0.76,20.346681729725905
317,0.7,0.74,20.90206496582637
207,0.7,0.74,22.076400582451495
113,0.74,0.72,23.15413786053363
47,0.84,0.7,0.5582508915537632
18,0.84,0.7,1.898126003116491
13,0.84,0.7,2.1361145964468
6,0.84,0.7,2.9887497051659913
9,0.83,0.68,4.031042141196734
36,0.79,0.7,4.932562441457166
179,0.79,0.7,6.80618115137615
502,0.74,0.7,7.618665557940202
705,0.7,0.7,8.463526423883994
327,0.74,0.7,9.223134504665571
250,0.7,0.74,10.171106073228835
214,0.66,0.76,11.140966177925227
283,0.55,0.8,12.419596250665373
253,0.52,0.8,13.408543111600745
261,0.46,0.82,14.733874028209646
306,0.52,0.8,15.608284591601466
868,0.62,0.78,17.351338351151192
814,0.62,0.76,18.106681545738606
610,0.66,0.76,19.593280780008943
448,0.7,0.74,20.115056096721027
317,0.74,0.72,21.55389024586452
224,0.74,0.72,21.66413258211426
138,0.79,0.72,22.958118035951056
58,0.84,0.7,0.25127121187593304
23,0.79,0.72,1.7473532417712394
6,0.84,0.7,2.257756755734062
7,0.84,0.7,3.2033765989426546
7,0.84,0.7,4.397325082232259
43,0.89,0.68,4.986442976309721
173,0.84,0.7,6.123767511464595
482,0.84,0.7,6.9973371881927715
737,0.72,0.74,7.946722570661734
341,0.66,0.76,9.285288065638335
